subject_length,body_length,total_length,word_count,avg_word_length,unique_word_ratio,uppercase_ratio,digit_ratio,punctuation_ratio,exclamation_count,question_count,colon_count,url_count,email_count,phone_count,currency_symbol_count,attachment_hint,dear_greeting,contains_date_like,job_keyword_count,candidate_keyword_count,recruiting_keyword_count,compensation_keyword_count,business_keyword_count,support_keyword_count,job_signal_ratio,non_job_signal_ratio,is_job
38.0,363.0,402.0,71.0,4.492957746478873,0.8028169014084507,0.07886435331230283,0.004975124378109453,0.03482587064676617,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.014084507042253521,0.04225352112676056,0
30.0,312.0,343.0,59.0,4.661016949152542,0.864406779661017,0.07352941176470588,0.008746355685131196,0.029154518950437316,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01694915254237288,0
44.0,424.0,469.0,77.0,4.9480519480519485,0.7792207792207793,0.04199475065616798,0.0,0.0255863539445629,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.05194805194805195,0
37.0,492.0,530.0,83.0,5.228915662650603,0.7710843373493976,0.03926096997690531,0.0018867924528301887,0.022641509433962263,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.03614457831325301,0
37.0,381.0,419.0,67.0,5.104477611940299,0.8059701492537313,0.05029585798816568,0.00954653937947494,0.028639618138424822,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.05970149253731343,0
40.0,411.0,452.0,72.0,5.152777777777778,0.7638888888888888,0.06301369863013699,0.01327433628318584,0.024336283185840708,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.1111111111111111,0
28.0,320.0,349.0,59.0,4.796610169491525,0.7627118644067796,0.045936395759717315,0.0,0.022922636103151862,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.01694915254237288,0.06779661016949153,0
35.0,477.0,513.0,84.0,4.9523809523809526,0.7738095238095238,0.08641975308641975,0.021442495126705652,0.02729044834307992,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.011904761904761904,0.05952380952380952,0
33.0,369.0,403.0,65.0,5.092307692307692,0.8307692307692308,0.04281345565749235,0.009925558312655087,0.022332506203473945,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.09230769230769231,0
50.0,518.0,569.0,93.0,5.032258064516129,0.7204301075268817,0.027777777777777776,0.0,0.019332161687170474,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.03225806451612903,0
